seller_id,total_orders,late_orders,late_delivery_rate_percent
86bb7c4b535e49a541baf3266b1c95b1,16,3,18.75
adcf50477d6a1f5d91bb9d54c4903cb5,16,3,18.75
099095b050cfe8eb1ddff5317587e96e,16,3,18.75
08d2d642cf72b622b14dde1d2f5eb2f5,16,3,18.75
e3a386fc36e22064434e1fa256f6a9fa,16,3,18.75
d17f467e4bf608a510c20d82f4ba3b6b,11,2,18.18
d93919c944be9cff128f6c9cb899eacb,33,6,18.18
f08a5b9dd6767129688d001acafc21e5,11,2,18.18
082e0bf4cb865a6533b1e8e498cc0255,11,2,18.18
04aa0a1c5ce6b222003403a3e11c3cc0,11,2,18.18
0249d282d911d23cb8b869ab49c99f53,11,2,18.18
1b7e5006cb25dd23ce8686691013b121,11,2,18.18
39c763cca83e654764b7a4a650fb9b7c,11,2,18.18
b55638ad525e906c698fa2ce742c1742,11,2,18.18
cb5df0dcb9e280b1780e9d589889f2c7,11,2,18.18
bc07d855eac23aab5ac8a120f21d16b2,11,2,18.18
7586919161935337bf6b6d7ff5779648,11,2,18.18
7901646fdd36a55f564ffaf2dbccaaf7,22,4,18.18
cd68562d3f44870c08922d380acae552,122,22,18.03
b17b679f4f5ce2e03ce6968c62648246,50,9,18.00
002100f778ceb8431b7a1020ff7ab48f,50,9,18.00
0b35c634521043bf4b47e21547b99ab5,50,9,18.00
6973a06f484aacf400ece213dbf3d946,89,16,17.98
d97df38225e5abadaff1e72cb72b823c,28,5,17.86
6bb0724edf0b62fb91ac404873a97241,17,3,17.65
768a86e36ad6aae3d03ee3c6433d61df,17,3,17.65
863d2ebcd347ce4922de7a0f9a5581d6,17,3,17.65
891071be6ba827b591264c90c2ae8a63,85,15,17.65
b64d51f0435e884e8de603b1655155ae,17,3,17.65
9f50216bfd01913736a55a11b55ea842,17,3,17.65
9c068d10aca38e85c50202e17b4a7e88,17,3,17.65
2a61c271b1ac763450d846849783e922,17,3,17.65
49067458c68f7701fd334ce326accbe0,17,3,17.65
d20b021d3efdf267a402c402a48ea64b,86,15,17.44
e7df4cd29ab5abab70fb0783ddb53987,23,4,17.39
323ce52b5b81df2cd804b017b7f09aa7,29,5,17.24
850913d59ce317156b00f3705f1c3edb,29,5,17.24
ec8879960bd2221d5c32f8e12f7da711,35,6,17.14
dd55f1bb788714a40e7954c3be6df745,35,6,17.14
11bfa66332777660bd0640ee84d47006,76,13,17.11
834f8533b2ecb6598dd004ff3de7203a,41,7,17.07
80f2cf9abf6b5a0e5c612b5eea6646e6,6,1,16.67
8b9d6eec4a7eb7d0f9d579ce0b38324d,48,8,16.67
8e6d7754bc7e0f22c96d255ebda59eba,84,14,16.67
9906e7aa42a3c067b7c9a564d01c4320,12,2,16.67
78744a20ee2f80ba64f6804c25def2b8,6,1,16.67
7ecd59e5e20407131822c1a68ac59c1f,24,4,16.67
7f40d06aa0b5f1aa4f41af8c0480e2ef,6,1,16.67
71271995e85f5b8530be99ed54a91b89,6,1,16.67
70849ca4f400aaabb62cb7462a6f1428,12,2,16.67
a1474fd46fd3430168f7ec202da39408,12,2,16.67
a254c682cc01e119f83530446f1df9a9,6,1,16.67
a4b6b9b992b46e9ef863637af96e04bc,6,1,16.67
a63bfbaa882c8f4542891b4e2246cc7f,6,1,16.67
a64e44665225d19dfc0277eeeaaccc57,6,1,16.67
af7cdac9d9897cddead9c6b08976c642,6,1,16.67
acadd4d36859671cb635527c6c977533,12,2,16.67
ccb83a794700270fde70898fe9ff368b,12,2,16.67
cf8ab1616079e2793aa29d524df01bb1,6,1,16.67
bc503e244f187939d10c92a5c8e378ce,6,1,16.67
bbaff50f3b708fda865918715276cd87,12,2,16.67
bd15ee794d5e640d9dd71b665b2ab15b,12,2,16.67
b8630e1121437d41cb08e3c749c2c2e2,12,2,16.67
ba6ce6de456f6c11d08c17701ba5c26f,6,1,16.67
baa49d93c8c8841e27400a300f5d74b2,6,1,16.67
c5e60e39c0f42b8e827daa13cff74afa,6,1,16.67
0e44d110fa6a54e121cb2c095a77762f,6,1,16.67
179d859f51292aac5c10806a356f7af9,18,3,16.67
13511db12ac61e2f89c53b72a944a60b,6,1,16.67
14ee35374a7876217954b5fa08e50463,6,1,16.67
2e1a7d075abe038c1b2743005fe42ff1,18,3,16.67
28ea411b354f14b1a494be4e79f0ce02,6,1,16.67
38874e327ce94d11390b96eb42d61928,6,1,16.67
3afc536624bc2e65bddfb5db33cc01f3,6,1,16.67
